,RHS CF,Cold Formed Rectangular Hollow Sections in accordance with EN 10219 and Strongbox 2000,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,UK edition,Unnamed: 15
0,,Designation,,Mass,Area,Second Moment,,Radius of,,Elastic,,Plastic,,Torsional,,Surface
1,,Size,Thickness,per,of,of Area,,Gyration,,Modulus,,Modulus,,Constants,,Area
2,,,,metre,Section,Axis x-x,Axis y-y,Axis x-x,Axis y-y,Axis x-x,Axis y-y,Axis x-x,Axis y-y,,,of
3,,D x B,t,Â ,A,Ix,Iy,rx,ry,Zx,Zy,Sx,Sy,J,C,Section
4,Home,mm x mm,mm,kg/m,cm2,cm4,cm4,cm,cm,cm3,cm3,cm3,cm3,cm4,cm3,m2/m
5,1,50 x 25,2,2.15,2.74,8.38,2.81,1.75,1.01,3.35,2.25,4.26,2.62,7.06,3.92,0.143
6,2,50 x 25,2.5,2.62,3.34,9.89,3.28,1.72,0.991,3.95,2.62,5.11,3.12,8.43,4.6,0.141
7,3,50 x 25,3,3.07,3.91,11.2,3.67,1.69,0.969,4.47,2.93,5.86,3.56,9.64,5.18,0.14
8,4,50 x 30,2,2.31,2.94,9.54,4.29,1.8,1.21,3.81,2.86,4.74,3.33,9.77,4.84,0.153
9,5,50 x 30,2.5,2.82,3.59,11.3,5.05,1.77,1.19,4.52,3.37,5.7,3.98,11.7,5.72,0.151
10,6,50 x 30,3,3.3,4.21,12.8,5.7,1.75,1.16,5.13,3.8,6.57,4.58,13.5,6.49,0.15
11,7,50 x 30,4,4.2,5.35,15.3,6.69,1.69,1.12,6.1,4.46,8.05,5.58,16.5,7.71,0.146
12,8,60 x 40,2.5,3.6,4.59,22.1,11.7,2.19,1.6,7.36,5.87,9.06,6.84,25.1,9.72,0.191
13,9,60 x 40,3,4.25,5.41,25.4,13.4,2.17,1.58,8.46,6.72,10.5,7.94,29.3,11.2,0.19
14,10,60 x 40,4,5.45,6.95,31,16.3,2.11,1.53,10.3,8.14,13.2,9.89,36.7,13.7,0.186
15,11,80 x 40,3,5.19,6.61,52.3,17.6,2.81,1.63,13.1,8.78,16.5,10.2,43.9,15.3,0.23
16,12,80 x 40,4,6.71,8.55,64.8,21.5,2.75,1.59,16.2,10.7,20.9,12.8,55.2,18.8,0.226
17,13,90 x 50,3,6.13,7.81,81.9,32.7,3.24,2.05,18.2,13.1,22.6,15,76.7,22.4,0.27
18,14,90 x 50,3.6,7.24,9.23,94.7,37.7,3.2,2.02,21.1,15.1,26.4,17.5,89.6,25.8,0.268
19,15,90 x 50,4,7.97,10.1,103,40.7,3.18,2,22.8,16.3,28.8,19.1,97.7,28,0.266
20,16,90 x 50,5,9.7,12.4,121,47.4,3.12,1.96,26.8,18.9,34.4,22.7,116,32.7,0.263
21,17,100 x 50,3,6.6,8.41,106,36.1,3.56,2.07,21.3,14.4,26.7,16.4,88.6,25,0.29
22,18,100 x 50,4,8.59,10.9,134,44.9,3.5,2.03,26.8,18,34.1,20.9,113,31.3,0.286
23,19,100 x 50,5,10.5,13.4,158,52.5,3.44,1.98,31.6,21,40.8,25,135,36.8,0.283
24,20,100 x 50,6,12.3,15.6,179,58.7,3.38,1.94,35.8,23.5,46.9,28.5,154,41.4,0.279
25,21,100 x 50,6.3,12.5,15.9,176,58.2,3.32,1.91,35.1,23.3,46.9,28.6,158,42.1,0.273
26,22,100 x 60,3,7.07,9.01,121,54.6,3.66,2.46,24.1,18.2,29.6,20.8,122,30.6,0.31
27,23,100 x 60,3.6,8.37,10.7,140,63.3,3.63,2.44,28,21.1,34.7,24.3,143,35.6,0.308
28,24,100 x 60,4,9.22,11.7,153,68.7,3.6,2.42,30.5,22.9,37.9,26.6,156,38.7,0.306
29,25,100 x 60,5,11.3,14.4,181,80.8,3.55,2.37,36.2,26.9,45.6,31.9,188,45.8,0.303
30,26,100 x 60,6,13.2,16.8,205,91.2,3.49,2.33,41.1,30.4,52.5,36.6,216,51.9,0.299
31,27,100 x 60,6.3,13.5,17.2,203,90.9,3.44,2.3,40.7,30.3,52.8,36.9,223,53,0.293
32,28,120 x 60,3,8.01,10.2,189,64.4,4.3,2.51,31.5,21.5,39.2,24.2,156,37.1,0.35
33,29,120 x 60,3.6,9.5,12.1,221,74.8,4.27,2.48,36.8,24.9,46.1,28.4,184,43.2,0.348
34,30,120 x 60,4,10.5,13.3,241,81.2,4.25,2.47,40.1,27.1,50.5,31.1,201,47,0.346
35,31,120 x 60,5,12.8,16.4,287,96,4.19,2.42,47.8,32,60.9,37.4,242,55.8,0.343
36,32,120 x 60,6,15.1,19.2,328,109,4.13,2.38,54.7,36.3,70.6,43.1,280,63.6,0.339
37,33,120 x 60,6.3,15.5,19.7,327,109,4.07,2.35,54.5,36.4,71.2,43.7,289,65.1,0.333
38,34,120 x 80,4,11.7,14.9,295,157,4.44,3.24,49.1,39.3,59.8,45.2,331,64.9,0.386
39,35,120 x 80,5,14.4,18.4,353,188,4.39,3.2,58.9,46.9,72.4,54.7,402,77.8,0.383
40,36,120 x 80,6,17,21.6,406,215,4.33,3.15,67.7,53.8,84.3,63.5,469,89.4,0.379
41,37,120 x 80,6.3,17.5,22.2,408,217,4.28,3.12,68.1,54.3,85.6,64.7,488,92.1,0.373
42,38,120 x 80,8,21.4,27.2,476,252,4.18,3.04,79.3,62.9,102,76.9,584,108,0.366
43,39,150 x 100,4,14.9,18.9,595,319,5.6,4.1,79.3,63.7,95.7,72.5,662,105,0.486
44,40,150 x 100,5,18.3,23.4,719,384,5.55,4.05,95.9,76.8,117,88.3,809,127,0.483
45,41,150 x 100,6,21.7,27.6,835,444,5.5,4.01,111,88.8,137,103,948,147,0.479
46,42,150 x 100,6.3,22.4,28.5,848,453,5.45,3.98,113,90.5,140,106,992,152,0.473
47,43,150 x 100,8,27.7,35.2,1008,536,5.35,3.9,134,107,169,128,1206,182,0.466
48,44,160 x 80,5,17.5,22.4,722,244,5.68,3.3,90.2,61,113,69.7,601,106,0.463
49,45,160 x 80,6,20.7,26.4,836,281,5.62,3.26,105,70.2,132,81.3,702,122,0.459
50,46,160 x 80,8,26.4,33.6,1001,335,5.46,3.16,125,83.7,163,100,882,150,0.446
51,47,200 x 100,4,18,22.9,1200,411,7.23,4.23,120,82.2,148,91.7,985,142,0.586
52,48,200 x 100,5,22.3,28.4,1459,497,7.17,4.19,146,99.4,181,112,1206,172,0.583
53,49,200 x 100,6,26.4,33.6,1703,577,7.12,4.14,170,115,213,132,1417,200,0.579
54,50,200 x 100,6.3,27.4,34.8,1739,591,7.06,4.12,174,118,219,135,1483,208,0.573
55,51,200 x 100,8,33.9,43.2,2091,705,6.95,4.04,209,141,267,165,1811,250,0.566
56,52,250 x 100,5,26.2,33.4,2554,610,8.75,4.28,204,122,259,136,1620,217,0.683
57,53,250 x 100,6,31.1,39.6,2992,710,8.69,4.23,239,142,305,160,1905,253,0.679
58,54,250 x 100,6.3,32.3,41.1,3066,730,8.63,4.21,245,146,314,165,1993,263,0.673
59,55,250 x 100,8,40.2,51.2,3714,875,8.51,4.13,297,175,385,201,2439,317,0.666
60,56,250 x 100,10,49.1,62.6,4384,1021,8.37,4.04,351,204,462,240,2910,373,0.657
61,57,250 x 100,12.5,58.5,74.5,4868,1133,8.08,3.9,389,227,530,275,3373,425,0.636
62,58,300 x 200,6,45.2,57.6,7370,3962,11.3,8.29,491,396,588,446,8115,651,0.979
63,59,300 x 200,6.3,47.1,60,7624,4104,11.3,8.27,508,410,610,463,8524,680,0.973
64,60,300 x 200,8,59.1,75.2,9389,5042,11.2,8.19,626,504,757,574,10627,838,0.966
65,61,300 x 200,10,72.7,92.6,11313,6058,11.1,8.09,754,606,921,698,12987,1012,0.957
66,62,300 x 200,12.5,88,112,13179,7060,10.8,7.94,879,706,1091,828,15768,1204,0.936
67,63,400 x 200,8,71.6,91.2,18974,6517,14.4,8.45,949,652,1173,728,15820,1133,1.17
68,64,400 x 200,10,88.4,113,23003,7864,14.3,8.36,1150,786,1434,888,19368,1373,1.16
69,65,400 x 200,12.5,108,137,27100,9260,14.1,8.22,1355,926,1714,1062,23594,1644,1.14
