,RHS HF OS,Rectangular Hollow Sections in accordance with EN 10210,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Overseas Edition,Unnamed: 17,Unnamed: 18
157,153,220x120,12.5,60.5,77.1,6.6,14.6,4560,1707,7.69,4.71,415,285,530,341,4087,476,0.648,16.5
158,154,220x120,14.2,67.8,86.3,5.45,12.5,4996,1853,7.61,4.63,454,309,586,376,4488,517,0.643,14.8
159,155,220x120,16,75.2,95.8,4.5,10.8,5413,1988,7.52,4.55,492,331,643,410,4873,555,0.639,13.3
160,156,250x100,5,26.5,33.7,17,47,2610,618,8.8,4.28,209,124,263,138,1617,217,0.687,37.8
161,157,250x100,5.6,29.5,37.6,14.9,41.6,2889,681,8.77,4.25,231,136,292,152,1789,239,0.686,33.9
162,158,250x100,6,31.5,40.2,13.7,38.7,3072,721,8.74,4.24,246,144,311,162,1901,253,0.685,31.7
163,159,250x100,6.3,33,42.1,12.9,36.7,3207,751,8.73,4.22,257,150,326,169,1983,264,0.684,30.3
164,160,250x100,7.1,37,47.1,11.1,32.2,3559,827,8.69,4.19,285,165,363,188,2198,291,0.682,27
165,161,250x100,8,41.4,52.8,9.5,28.3,3940,909,8.64,4.15,315,182,404,209,2430,319,0.679,24.1
166,162,250x100,8.8,45.3,57.7,8.36,25.4,4266,977,8.6,4.12,341,195,439,226,2627,343,0.677,22.1
167,163,250x100,10,51,64.9,7,22,4733,1072,8.54,4.06,379,214,491,251,2908,376,0.674,19.6
168,164,250x100,12,60.2,76.7,5.33,17.8,5453,1213,8.43,3.98,436,243,572,290,3336,426,0.669,16.6
169,165,250x100,12.5,62.5,79.6,5,17,5622,1245,8.41,3.96,450,249,592,299,3436,438,0.668,16
170,166,250x100,14.2,70,89.2,4.04,14.6,6165,1344,8.31,3.88,493,269,655,329,3752,473,0.663,14.3
171,167,250x100,16,77.7,99,3.25,12.6,6686,1433,8.22,3.8,535,287,719,358,4050,505,0.659,12.9
172,168,250x150,5,30.4,38.7,27,47,3360,1527,9.31,6.28,269,204,324,228,3278,337,0.787,32.9
173,169,250x150,5.6,33.9,43.2,23.8,41.6,3726,1690,9.29,6.25,298,225,361,254,3640,373,0.786,29.5
174,170,250x150,6,36.2,46.2,22,38.7,3965,1796,9.27,6.24,317,239,385,270,3877,396,0.785,27.6
175,171,250x150,6.3,38,48.4,20.8,36.7,4143,1874,9.25,6.22,331,250,402,283,4054,413,0.784,26.3
176,172,250x150,7.1,42.6,54.2,18.1,32.2,4606,2078,9.22,6.19,368,277,449,315,4515,457,0.782,23.5
177,173,250x150,8,47.7,60.8,15.8,28.3,5111,2298,9.17,6.15,409,306,501,350,5021,506,0.779,21
178,174,250x150,8.8,52.2,66.5,14,25.4,5546,2486,9.13,6.12,444,331,545,381,5457,547,0.777,19.2
179,175,250x150,10,58.8,74.9,12,22,6174,2755,9.08,6.06,494,367,611,426,6090,605,0.774,17
180,176,250x150,12,69.6,88.7,9.5,17.8,7154,3168,8.98,5.98,572,422,715,497,7088,695,0.769,14.4
181,177,250x150,12.5,72.3,92.1,9,17,7387,3265,8.96,5.96,591,435,740,514,7326,717,0.768,13.8
182,178,250x150,14.2,81.1,103,7.56,14.6,8141,3576,8.87,5.88,651,477,823,570,8102,784,0.763,12.3
183,179,250x150,16,90.3,115,6.38,12.6,8879,3873,8.79,5.8,710,516,906,625,8868,849,0.759,11.1
184,180,*250x200,12,79,101,13.7,17.8,8855,6233,9.38,7.87,708,623,858,734,11580,966,0.869,12.7
185,181,*250x200,14.2,92.3,118,11.1,14.6,10120,7100,9.28,7.77,809,710,990,846,13330,1098,0.863,10.8
186,182,260x140,5,30.4,38.7,25,49,3532,1354,9.55,5.91,272,193,331,216,3078,326,0.787,32.9
187,183,260x140,5.6,33.9,43.2,22,43.4,3916,1498,9.52,5.89,301,214,368,240,3417,360,0.786,29.5
188,184,260x140,6,36.2,46.2,20.3,40.3,4168,1591,9.5,5.87,321,227,393,255,3638,383,0.785,27.6
189,185,260x140,6.3,38,48.4,19.2,38.3,4355,1660,9.49,5.86,335,237,411,267,3803,399,0.784,26.3
190,186,260x140,7.1,42.6,54.2,16.7,33.6,4842,1839,9.45,5.82,372,263,459,298,4234,442,0.782,23.5
191,187,260x140,8,47.7,60.8,14.5,29.5,5373,2032,9.4,5.78,413,290,511,331,4704,488,0.779,21
192,188,260x140,8.8,52.2,66.5,12.9,26.5,5831,2197,9.37,5.75,449,314,557,360,5110,527,0.777,19.2
193,189,260x140,10,58.8,74.9,11,23,6490,2432,9.31,5.7,499,347,624,402,5698,584,0.774,17
194,190,260x140,12,69.6,88.7,8.67,18.7,7522,2792,9.21,5.61,579,399,730,469,6621,670,0.769,14.4
195,191,260x140,12.5,72.3,92.1,8.2,17.8,7767,2876,9.18,5.59,597,411,756,485,6841,690,0.768,13.8
196,192,260x140,14.2,81.1,103,6.86,15.3,8560,3144,9.1,5.52,658,449,840,537,7555,754,0.763,12.3
197,193,260x140,16,90.3,115,5.75,13.3,9337,3400,9.01,5.44,718,486,925,588,8257,815,0.759,11.1
198,194,300x100,5,30.4,38.7,17,57,4146,731,10.3,4.34,276,146,354,161,2040,262,0.787,32.9
199,195,300x100,5.6,33.9,43.2,14.9,50.6,4598,806,10.3,4.32,307,161,393,179,2257,289,0.786,29.5
200,196,300x100,6,36.2,46.2,13.7,47,4893,854,10.3,4.3,326,171,419,190,2399,306,0.785,27.6
201,197,300x100,6.3,38,48.4,12.9,44.6,5111,890,10.3,4.29,341,178,439,199,2504,319,0.784,26.3
202,198,300x100,7.1,42.6,54.2,11.1,39.3,5683,981,10.2,4.25,379,196,490,221,2775,352,0.782,23.5
203,199,300x100,8,47.7,60.8,9.5,34.5,6305,1078,10.2,4.21,420,216,546,245,3069,387,0.779,21
204,200,300x100,8.8,52.2,66.5,8.36,31.1,6841,1160,10.1,4.18,456,232,594,266,3319,416,0.777,19.2
205,201,300x100,10,58.8,74.9,7,27,7613,1275,10.1,4.13,508,255,666,296,3676,458,0.774,17
206,202,300x100,12,69.6,88.7,5.33,22,8818,1447,9.97,4.04,588,289,779,343,4223,520,0.769,14.4
207,203,300x100,12.5,72.3,92.1,5,21,9103,1486,9.94,4.02,607,297,806,354,4350,534,0.768,13.8
208,204,300x100,14.2,81.1,103,4.04,18.1,10030,1607,9.85,3.94,669,321,896,390,4755,578,0.763,12.3
209,205,300x100,16,90.3,115,3.25,15.8,10930,1719,9.75,3.87,729,344,986,425,5138,619,0.759,11.1
210,206,300x200,5,38.3,48.7,37,57,6322,3396,11.4,8.35,421,340,501,380,6824,552,0.987,26.1
211,207,300x200,5.6,42.7,54.4,32.7,50.6,7025,3769,11.4,8.32,468,377,558,423,7593,612,0.986,23.4
212,208,300x200,6,45.7,58.2,30.3,47,7486,4013,11.3,8.31,499,401,596,451,8100,651,0.985,21.9
213,209,300x200,6.3,47.9,61,28.7,44.6,7829,4193,11.3,8.29,522,419,624,472,8476,681,0.984,20.9
214,210,300x200,7.1,53.7,68.4,25.2,39.3,8729,4667,11.3,8.26,582,467,698,528,9469,757,0.982,18.6
215,211,300x200,8,60.3,76.8,22,34.5,9717,5184,11.3,8.22,648,518,779,589,10560,840,0.979,16.6
216,212,300x200,8.8,66,84.1,19.7,31.1,10570,5631,11.2,8.18,705,563,851,643,11510,912,0.977,15.2
217,213,300x200,10,74.5,94.9,17,27,11820,6278,11.2,8.13,788,628,956,721,12910,1015,0.974,13.4
218,214,300x200,12,88.5,113,13.7,22,13800,7294,11.1,8.05,920,729,1124,847,15140,1178,0.969,11.3
219,215,300x200,12.5,91.9,117,13,21,14270,7537,11,8.02,952,754,1165,877,15680,1217,0.968,10.9
220,216,300x200,14.2,103,132,11.1,18.1,15830,8328,11,7.95,1055,833,1302,978,17460,1343,0.963,9.67
221,217,300x200,16,115,147,9.5,15.8,17390,9109,10.9,7.87,1159,911,1441,1080,19250,1468,0.959,8.67
222,218,300x250,6,50.4,64.2,38.7,47,8783,6645,11.7,10.2,586,532,684,604,11610,824,1.08,19.9
223,219,300x250,6.3,52.8,67.3,36.7,44.6,9188,6950,11.7,10.2,613,556,716,633,12160,862,1.08,18.9
224,220,300x250,7.1,59.3,75.5,32.2,39.3,10250,7749,11.6,10.1,683,620,802,708,13590,960,1.08,16.9
225,221,300x250,8,66.5,84.8,28.3,34.5,11420,8627,11.6,10.1,761,690,896,791,15190,1067,1.08,15
226,222,300x250,8.8,72.9,92.9,25.4,31.1,12440,9388,11.6,10.1,829,751,979,864,16580,1160,1.08,13.7
227,223,300x250,10,82.4,105,22,27,13920,10500,11.5,10,928,840,1101,971,18620,1295,1.07,12.1
228,224,300x250,12,97.9,125,17.8,22,16290,12260,11.4,9.91,1086,981,1297,1143,21910,1509,1.07,10.2
229,225,300x250,12.5,102,130,17,21,16860,12680,11.4,9.89,1124,1014,1345,1185,22710,1560,1.07,9.83
230,226,300x250,14.2,115,146,14.6,18.1,18730,14070,11.3,9.82,1249,1126,1505,1325,25360,1728,1.06,8.73
231,227,300x250,16,128,163,12.6,15.8,20620,15460,11.2,9.74,1375,1237,1668,1467,28060,1896,1.06,7.81
232,228,350x150,6,45.7,58.2,22,55.3,9066,2418,12.5,6.45,518,322,645,357,6110,562,0.985,21.9
233,229,350x150,6.3,47.9,61,20.8,52.6,9481,2525,12.5,6.43,542,337,676,373,6389,586,0.984,20.9
234,230,350x150,7.1,53.7,68.4,18.1,46.3,10570,2803,12.4,6.4,604,374,756,416,7122,651,0.982,18.6
235,231,350x150,8,60.3,76.8,15.8,40.8,11770,3105,12.4,6.36,673,414,844,464,7926,721,0.979,16.6
236,232,350x150,8.8,66,84.1,14,36.8,12810,3364,12.3,6.33,732,449,922,506,8622,781,0.977,15.2
237,233,350x150,10,74.5,94.9,12,32,14320,3737,12.3,6.27,818,498,1035,566,9633,867,0.974,13.4
238,234,350x150,12,88.5,113,9.5,26.2,16720,4314,12.2,6.19,955,575,1218,663,11230,1000,0.969,11.3
239,235,350x150,12.5,91.9,117,9,25,17300,4450,12.2,6.17,988,593,1263,686,11620,1032,0.968,10.9
240,236,350x150,14.2,103,132,7.56,21.6,19190,4890,12.1,6.09,1097,652,1411,763,12880,1134,0.963,9.67
241,237,350x150,16,115,147,6.38,18.9,21080,5317,12,6.01,1205,709,1561,840,14120,1233,0.959,8.67
242,238,350x250,6,55.1,70.2,38.7,55.3,12620,7538,13.4,10.4,721,603,852,677,14530,967,1.18,18.2
243,239,350x250,6.3,57.8,73.6,36.7,52.6,13200,7885,13.4,10.4,754,631,892,709,15210,1011,1.18,17.3
244,240,350x250,7.1,64.9,82.6,32.2,46.3,14750,8796,13.4,10.3,843,704,999,794,17020,1127,1.18,15.4
245,241,350x250,8,72.8,92.8,28.3,40.8,16450,9798,13.3,10.3,940,784,1118,888,19030,1254,1.18,13.7
246,242,350x250,8.8,79.8,102,25.4,36.8,17930,10670,13.3,10.2,1025,853,1222,970,20780,1365,1.18,12.5
247,243,350x250,10,90.2,115,22,32,20100,11940,13.2,10.2,1149,955,1375,1091,23350,1525,1.17,11.1
248,244,350x250,12,107,137,17.8,26.2,23580,13960,13.1,10.1,1347,1117,1624,1286,27510,1781,1.17,9.32
249,245,350x250,12.5,112,142,17,25,24420,14440,13.1,10.1,1395,1156,1685,1334,28530,1842,1.17,8.97
250,246,350x250,14.2,126,160,14.6,21.6,27200,16050,13,10,1554,1284,1887,1492,31890,2044,1.16,7.95
251,247,350x250,16,141,179,12.6,18.9,30010,17650,12.9,9.93,1715,1412,2095,1655,35330,2246,1.16,7.12
252,248,400x120,6,47.6,60.6,17,63.7,11270,1672,13.6,5.25,564,279,727,306,4824,505,1.02,21
253,249,400x120,6.3,49.9,63.5,16,60.5,11790,1744,13.6,5.24,590,291,762,320,5039,527,1.02,20.1
254,250,400x120,7.1,56,71.3,13.9,53.3,13150,1932,13.6,5.21,658,322,852,357,5603,584,1.02,17.9
255,251,400x120,8,62.8,80,12,47,14640,2134,13.5,5.17,732,356,952,397,6218,645,1.02,15.9
256,252,400x120,8.8,68.8,87.6,10.6,42.5,15940,2306,13.5,5.13,797,384,1040,432,6746,697,1.02,14.5
257,253,400x120,10,77.7,98.9,9,37,17830,2551,13.4,5.08,891,425,1168,483,7509,771,1.01,12.9
258,254,400x120,12,92.2,117,7,30.3,20830,2926,13.3,4.99,1042,488,1375,564,8698,885,1.01,10.8
259,255,400x120,12.5,95.8,122,6.6,29,21550,3013,13.3,4.97,1078,502,1426,583,8980,911,1.01,10.4
260,256,400x120,14.2,108,137,5.45,25.2,23920,3292,13.2,4.89,1196,549,1593,646,9893,996,1,9.27
261,257,400x120,16,120,153,4.5,22,26290,3558,13.1,4.82,1315,593,1764,709,10780,1077,0.999,8.3
262,258,400x150,6,50.4,64.2,22,63.7,12670,2730,14.1,6.52,633,364,798,400,7262,645,1.08,19.9
263,259,400x150,6.3,52.8,67.3,20.8,60.5,13250,2851,14,6.51,663,380,836,418,7595,673,1.08,18.9
264,260,400x150,7.1,59.3,75.5,18.1,53.3,14790,3166,14,6.47,740,422,936,467,8467,748,1.08,16.9
265,261,400x150,8,66.5,84.8,15.8,47,16490,3509,13.9,6.43,824,468,1046,521,9424,828,1.08,15
266,262,400x150,8.8,72.9,92.9,14,42.5,17960,3804,13.9,6.4,898,507,1143,568,10250,898,1.08,13.7
267,263,400x150,10,82.4,105,12,37,20110,4227,13.8,6.35,1006,564,1285,636,11460,998,1.07,12.1
268,264,400x150,12,97.9,125,9.5,30.3,23540,4887,13.7,6.26,1177,652,1515,745,13370,1153,1.07,10.2
269,265,400x150,12.5,102,130,9,29,24370,5043,13.7,6.24,1218,672,1571,772,13830,1190,1.07,9.83
270,266,400x150,14.2,115,146,7.56,25.2,27100,5547,13.6,6.16,1355,740,1758,859,15330,1309,1.06,8.73
271,267,400x150,16,128,163,6.38,22,29840,6038,13.5,6.09,1492,805,1948,947,16830,1426,1.06,7.81
272,268,400x200,6,55.1,70.2,30.3,63.7,15000,5142,14.6,8.56,750,514,917,568,12050,877,1.18,18.2
273,269,400x200,6.3,57.8,73.6,28.7,60.5,15700,5376,14.6,8.55,785,538,960,594,12610,917,1.18,17.3
274,270,400x200,7.1,64.9,82.6,25.2,53.3,17530,5989,14.6,8.51,877,599,1075,665,14100,1021,1.18,15.4
275,271,400x200,8,72.8,92.8,22,47,19560,6660,14.5,8.47,978,666,1203,743,15730,1135,1.18,13.7
276,272,400x200,8.8,79.8,102,19.7,42.5,21330,7241,14.5,8.44,1066,724,1315,811,17160,1233,1.18,12.5
277,273,400x200,10,90.2,115,17,37,23910,8084,14.4,8.39,1196,808,1480,911,19260,1376,1.17,11.1
278,274,400x200,12,107,137,13.7,30.3,28060,9418,14.3,8.3,1403,942,1748,1072,22620,1602,1.17,9.32
279,275,400x200,12.5,112,142,13,29,29060,9738,14.3,8.28,1453,974,1813,1111,23440,1656,1.17,8.97
280,276,400x200,14.2,126,160,11.1,25.2,32380,10780,14.2,8.21,1619,1078,2032,1242,26140,1834,1.16,7.95
281,277,400x200,16,141,179,9.5,22,35740,11820,14.1,8.13,1787,1182,2256,1374,28870,2010,1.16,7.12
282,278,400x300,8,85.4,109,34.5,47,25710,16540,15.4,12.3,1285,1103,1517,1247,31010,1749,1.38,11.7
283,279,400x300,8.8,93.6,119,31.1,42.5,28060,18040,15.3,12.3,1403,1202,1659,1363,33910,1906,1.38,10.7
284,280,400x300,10,106,135,27,37,31520,20230,15.3,12.2,1576,1349,1870,1536,38180,2135,1.37,9.44
285,281,400x300,12,126,161,22,30.3,37090,23760,15.2,12.2,1855,1584,2213,1816,45110,2503,1.37,7.93
286,282,400x300,12.5,131,167,21,29,38450,24610,15.2,12.1,1923,1641,2298,1884,46810,2592,1.37,7.62
287,283,400x300,14.2,148,189,18.1,25.2,42950,27440,15.1,12.1,2148,1829,2579,2113,52470,2887,1.36,6.76
288,284,400x300,16,166,211,15.8,22,47540,30310,15,12,2377,2021,2870,2349,58290,3184,1.36,6.04
289,285,450x250,8,85.4,109,28.3,53.3,30080,12140,16.6,10.6,1337,971,1622,1081,27080,1629,1.38,11.7
290,286,450x250,8.8,93.6,119,25.4,48.1,32840,13230,16.6,10.5,1460,1058,1774,1182,29590,1774,1.38,10.7
291,287,450x250,10,106,135,22,42,36890,14820,16.5,10.5,1640,1185,2000,1331,33280,1986,1.37,9.44
292,288,450x250,12,126,161,17.8,34.5,43430,17360,16.4,10.4,1930,1389,2367,1572,39260,2324,1.37,7.93
293,289,450x250,12.5,131,167,17,33,45030,17970,16.4,10.4,2001,1438,2458,1631,40720,2406,1.37,7.62
294,290,450x250,14.2,148,189,14.6,28.7,50310,20000,16.3,10.3,2236,1600,2759,1827,45580,2675,1.36,6.76
295,291,450x250,16,166,211,12.6,25.1,55710,22040,16.2,10.2,2476,1763,3070,2029,50550,2947,1.36,6.04
296,292,500x200,8,85.4,109,22,59.5,34050,8135,17.7,8.65,1362,814,1707,896,21120,1430,1.38,11.7
297,293,500x200,8.8,93.6,119,19.7,53.8,37170,8850,17.7,8.61,1487,885,1867,979,23050,1555,1.38,10.7
298,294,500x200,10,106,135,17,47,41760,9891,17.6,8.56,1670,989,2105,1101,25870,1737,1.37,9.44
299,295,500x200,12,126,161,13.7,38.7,49150,11540,17.5,8.47,1966,1154,2491,1298,30410,2027,1.37,7.93
300,296,500x200,12.5,131,167,13,37,50960,11940,17.5,8.45,2038,1194,2586,1346,31510,2096,1.37,7.62
301,297,500x200,14.2,148,189,11.1,32.2,56940,13240,17.4,8.38,2278,1324,2904,1505,35170,2324,1.36,6.76
302,298,500x200,16,166,211,9.5,28.3,63040,14540,17.3,8.3,2521,1454,3231,1669,38870,2552,1.36,6.04
303,299,500x300,8,97.9,125,34.5,59.5,43730,19950,18.7,12.6,1749,1330,2100,1480,42560,2203,1.58,10.2
304,300,500x300,8.8,107,137,31.1,53.8,47780,21770,18.7,12.6,1911,1451,2300,1619,46550,2403,1.58,9.31
305,301,500x300,10,122,155,27,47,53760,24440,18.6,12.6,2150,1629,2595,1826,52450,2696,1.57,8.22
306,302,500x300,12,145,185,22,38.7,63450,28740,18.5,12.5,2538,1916,3077,2161,62040,3167,1.57,6.9
307,303,500x300,12.5,151,192,21,37,65810,29780,18.5,12.5,2633,1985,3196,2244,64390,3281,1.57,6.63
308,304,500x300,14.2,170,217,18.1,32.2,73700,33240,18.4,12.4,2948,2216,3593,2519,72240,3660,1.56,5.87
309,305,500x300,16,191,243,15.8,28.3,81780,36770,18.3,12.3,3271,2451,4005,2804,80330,4044,1.56,5.24
310,306,500x300+,20,235,300,12,22,98780,44080,18.2,12.1,3951,2939,4885,3408,97450,4842,1.55,4.25
